Gene,BC01_02,BC01_03,BC01_04,BC01_05,BC01_06,BC01_08,BC01_10,BC01_12,BC01_33,BC01_34
ARSD,0,3.12329327,3.34515492,0,0.560133156,0,0.631485335,0,2.989678206,2.455641675
PNPLA4,2.504909952,3.82321423,1.175951663,0.321851648,0.307804282,3.625771652,4.496364296,0,0.866771517,1.486423669
ADIPOR2,1.684723372,3.017643809,4.225180746,1.787719217,0,0,0.113377572,2.970860553,3.984158824,2.117782445
CDKL3,2.225898978,0,3.208137689,3.43155798,1.176407799,0,0.28529215,0,0,0.207082804
PRSS21,0,0,0,0,0,0,0,0,0,0
MARK4,0,0,0,0,0,0,0,0.048761111,0,1.206227935
PROM1,0,0,0,0,0,0,0,0,0,0
CCDC124,3.137440878,4.045174003,4.792690203,3.513411244,2.199407982,3.744054112,2.854022402,3.326603579,2.926380936,3.416769293
CEACAM21,0,0,0,0,0,0,0,0,0,0
PAFAH1B1,3.061728311,0.783428618,4.563012909,1.405461243,4.735638699,2.657936685,4.212280682,3.884875906,3.158157791,4.061320786
DNAH9,0,0,0,0,0,0,0,0,0,0
KIAA0100,4.460707176,3.29240273,0,4.72105124,0.789115782,0,0.174026157,3.487089203,4.953924714,2.722953235
SLC13A2,0,0,0,0,0,0,0,0,0,0
GAS7,0,0,0,0,0,0,0,0,0,0
TRAPPC6A,5.527223175,4.978004869,1.105622863,4.806540706,2.744546508,4.00308038,1.068452524,4.226378329,0.783593258,1.966028376
MATK,0,0,0,2.469022052,2.35151422,0,0,0,0,0
CEACAM7,0,0,0,0,0,0,0,0,0,0
CD79B,0,0,0,0,0,0,0,0,0,0
SCN4A,0,0,0,0,0,0,0,0,0,0
ST7L,0,0,1.862990779,0,0,2.946126413,3.91526618,0,0.63630967,0
TKTL1,0,0,0,0,0,0,0,0,0,0
PAX6,0,0,0,0,0,0,1.351005204,0,0,0
RPUSD1,1.562519022,2.479096529,0,2.151017931,0,1.800880871,0,0,0,0
RHBDF1,0,0.122117523,0,0,0,3.525984955,0,0,0,2.860258526
LUC7L,2.946749079,3.377429064,4.736389896,3.21124429,0.3004176,0,0.703327887,0.943533113,0,3.496863434
CACNA2D2,0.165547776,0,0,0,0,0,0.548313927,0,0,0
BAIAP3,0,0,0,0,0,0,0,0,0,0
TSR3,1.200117493,0,0.636834536,1.510065683,0,0.727035528,2.105753553,0,0,2.329558287
PIGQ,0,2.510424129,0,2.534507378,0.432205737,0.712443782,0,0,1.628784402,3.049622642
CRAMP1L,0,0,0,0.269827892,0,1.385549831,0,0,0.130958596,0.65769686
TEAD3,0,1.168781271,0,0,0,0,0,0,0,2.31187546
SELE,0,0,0,0,0,0,0,0,0,0
DNAJC11,3.896717281,2.876690134,4.066825774,0.34334487,0,0,0.336602596,0,4.095784584,0
FMO3,0,0,0,0,0,0,0,0,0,0
MYLIP,3.012305406,0,0.270156651,0,1.079206053,3.807467894,0.270135108,4.432235514,0,2.635103075
NOX1,0,0,0,0,0,0,0,0,0,0
E2F2,0,4.294792771,0,0,0,0,0,0,0,0
PSMB1,6.016228801,5.529117427,6.932877464,6.246157229,5.401036837,5.928492567,5.437402433,6.446522186,5.874224444,5.153136097
SYN1,0,0,0,0,0,0,0,0,0,0
JARID2,0.270078854,0.97401771,0,2.032665641,1.051606617,0.450715279,0,0,1.748731138,3.224016726
CDKL5,0.378505292,0,0,0,0,1.898273847,0,0,0,0
CAMK1G,0,0,0,0,0,0,0,0,0,0
CDK11A,0.198890269,2.671958014,2.698510213,1.09471291,2.317575827,1.905729899,2.871166126,1.412961253,1.764260559,1.088805393
NADK,2.456363967,1.405439904,0.565550131,0.989012135,3.94799431,2.32833091,0,3.244736474,0.238896294,0.476373241
TFAP2B,0,0,0,0,0,0,0,0,0,0
DLEC1,0,0,0,0,0,0,0.548313927,0,0,0.254724732
CYTH3,1.47034414,0,0,0,0,0,0.190699547,0,0,0
ADAM22,0,0.039187246,0,0,0,0,0.713182398,0,0,0
SYPL1,5.574878092,5.399104438,4.447066868,5.452429091,6.402076648,5.246615247,5.258730127,4.8476677,5.961160768,5.863514053
CYB561,2.501636568,3.892802573,2.114324085,1.305012535,1.306506338,3.533014656,2.521336608,3.885286579,0.614924972,2.715037435
SPAG9,0,2.010141062,2.65515814,1.043258454,1.354149594,0,2.36409347,0,3.143178204,4.109922496
CELSR3,0,0,0.039241764,0,0,0,0,0,0,0
AASS,2.083375843,0.182176523,0.246979801,0.444383559,0.26264288,0.371255542,0.457592331,0.343412279,4.349975867,0
PLEKHG6,0,0,0,0,0,0,0,0,0,0
SS18L2,3.877852582,5.069233412,4.440128476,3.973231991,5.152234503,4.48021142,4.9767729,0.891637906,4.579290777,3.379987698
MPND,1.803541133,1.060687289,0,0.727113333,0,0,1.322090395,0.915924595,0,0
MGST1,6.322909039,6.369733766,5.861417318,5.913122392,5.724624524,6.290355902,6.986661712,6.80171847,7.840847106,7.095862149
CRY1,0.139790448,0,0.21521731,1.199376302,1.54210756,0,0,1.762511408,0,1.396520856
NFIX,0.751531542,2.707237743,0,0.076898677,0.329642486,3.259830499,1.929008542,0.357490966,0,0
ST3GAL1,0,0.576231996,0,3.295766273,0.761448872,4.431857534,3.345419803,1.098205462,3.392280788,0
MMP25,0,0,0,0,0,0,0,0,0,0
IL32,0,0.727098725,4.169836143,0,0.728172581,0,0,0,3.769444167,4.658505582
PKD1,0,0,0,1.137260785,1.026816003,0,0.122270125,0.019790664,0,0
MAPK8IP2,2.785833382,0,1.235859623,0.74624496,0,1.584355919,0.524914806,0,0.581965233,0.742129595
MED24,3.64121417,2.52172289,0,2.398038234,0,2.253556113,0,0,0,0.131073339
RHOBTB2,1.011739979,0.853915337,0,0,0,0,0,0,0,0
HEATR5B,0.343653252,0,0,0.91977615,3.205934748,0,1.777024841,0,1.067780686,2.594847748
SEC62,5.139597495,4.544452749,1.008305438,5.102438122,5.436101864,4.740550897,6.26495773,4.4283072,5.107681866,5.65081772
RPS20,6.645855226,6.51210863,7.172648958,6.72313543,6.811755752,6.634561251,6.14654889,6.393533159,6.357951509,6.444624843
CSDE1,4.575339539,4.205773495,5.004892426,4.237759109,4.854476849,4.408052896,4.912004162,6.100763274,4.949543099,4.711154358
UBE3C,4.390086605,3.328145735,1.522126737,0.823702692,1.835194283,1.33689704,4.763565953,3.004111964,2.516368082,4.057522415
REV3L,3.01721224,1.919116645,0,2.872769999,4.371651523,2.808469702,2.914411208,3.681511633,4.256045746,4.232582333
TENM1,0,0,0,0,0,0,0,0,0,0
PAX7,0,0,0,0,0,0,0,0,0,0
MASP2,0,0,0,0.336231668,0,0,0,0,0,0
IYD,0,0,0,0,0,0,3.28397842,0,0,0
FAM76A,3.18656213,2.662243049,0,4.470463267,3.813161768,3.359764197,5.096532168,2.787520174,3.713262357,3.674630985
TRAF3IP3,0,1.032623846,0.444882282,1.730962423,0.165698617,0.587345529,1.792139636,0,0,0
POMT2,0,0.475904445,0,0.727113333,0,1.410236388,0,0.292514796,1.196552228,0
VTA1,4.322226828,3.393331485,2.967851845,2.812818998,5.441886154,5.040565987,4.95374159,4.808810975,0.173862732,5.16228963
MLXIPL,0,0,0,0,1.594270145,0,0,0,0,0
BAZ1B,3.784175894,4.497503356,0,3.589896199,1.507236477,4.009806945,3.550635019,1.852653478,3.585187004,3.58831038
RANBP9,0.587883794,3.887082536,3.911758922,4.690696837,0,0.47585813,2.713795301,0.214993286,3.720066664,0
ETV7,0,0,0,0,0,0,0,0,0,2.800670163
SPRTN,0.833032644,0,2.665651818,2.202015615,0,0.104261671,0.693375298,0,0,3.752447348
METTL13,0.165547776,4.071413677,4.705105163,0,5.002187575,0,4.608617331,0.086127318,3.705183101,0
DYRK4,3.4166257,0,0,0,4.369372718,3.954491755,2.729585577,2.853593573,5.56583079,5.150762101
ZNF207,4.668173648,2.40254322,2.949683168,3.558806346,6.460248251,3.647871422,2.673193072,5.463774784,5.302541285,5.338960442
UQCRC1,6.011141969,5.866704211,5.961731512,5.322854537,6.252992721,5.722235977,5.886169983,5.534440298,6.30192438,5.0262825
STARD3NL,5.293672995,3.014707075,0.784198911,0.482103893,2.89317692,2.003320089,0,5.896490296,0,4.76296505
CD9,6.276184684,6.065262796,1.837830055,5.857835898,4.304444418,6.646826525,5.99998697,6.384416478,7.062994794,5.77460679
NCAPD2,0.104381673,3.411295519,0,1.117847993,0.139919431,0,0.223234805,0,0.641585147,0.770305326
IFFO1,0,0,0,0,0,0,0,0,0,0
GIPR,0,0,0,0,0,0,0,0,0,0
PHF7,0,4.357002644,0,4.43069861,0,0.284932693,0,0,0,0
SEMA3G,0,0,0,0,0,0,0,0,0,0.65769686
NISCH,2.801745804,1.302278864,3.546694564,2.413359588,3.119545719,2.254604772,1.244479334,1.388333169,2.756943676,3.192473004
STAB1,0,0,0,0,0,0,0,0,0,0
FUZ,0,0,0,0,0,0,0,0,0,0
IDS,1.521869815,1.908801002,4.079768855,3.083854784,5.231024688,0.048742909,4.0584746,0,4.804113795,4.543125812
ZNF200,1.761481244,0,0,0,0,3.62097177,0,3.081786269,0,0
CD4,0,0,0,0,0,0,0,0,0,0
LRRC23,0,0,0,0,0,0,0,0,3.618441121,0
BTK,0,0,0,0,0,0,0,0,0,0
HFE,4.181959942,0,0,0,0,0,0,0,0,0
SCMH1,1.064853915,3.094293926,0,1.365464336,0,1.415101402,3.370491152,3.02761871,0,0.652501053
FYN,0,0,0,0,0,0,0,0,0,0
HIVEP2,0,1.614722593,0,2.541613134,0,1.792597183,3.226885168,0,1.9525407,1.681126569
FMO1,0,0,0,0,0,0,0,0,0,0
TCEB3,3.145653667,3.549633572,4.083653046,3.320620588,4.802509325,0.783362183,0.165584039,2.646316729,0,3.713198127
LYPLA2,4.235770095,3.365420357,0,0,3.134907818,3.417421922,3.232427642,3.243177057,0.336310149,1.742521753
CLCN6,0,0,0,0,1.16084955,0,0.565510823,0,0,0
MRC2,0,0,0,0,0,0,0,0,0,0
NME2,2.54651668,3.020571945,3.086552107,3.548511965,4.336257021,0,2.889134504,2.447858002,0,2.555237502
TSPAN9,0,0,0,0,0,0.086095757,0,0,0,0
BTBD7,0.845993012,0,0,3.675226568,3.955499571,0.048742909,1.708751417,0,0.198748561,0
APBA3,0,0,1.037090068,0.254452939,0,0,0,0,0,0
MKS1,1.486308786,0,0,0.687715722,0,0.35036332,0,0,4.709328186,0
ABHD5,3.095786248,0.836753948,3.145106837,1.67078943,3.722524232,1.162468345,4.065192446,0,0,4.124587993
KAL1,0,3.158716807,0,0,0,0,0,0,0,0
AKAP8L,3.944898084,3.756155106,3.087008844,5.34163957,0,2.164740315,4.265240098,0,0.77901778,0
MBTD1,0,1.65179371,0,2.081201235,0,0,1.037031325,0.206900076,0,0
UTP18,2.850334188,0,2.611311808,2.547105134,0,2.01670539,3.300342023,0,4.299985668,0
